customer_id,day,meal,order,wait_time,satisfaction,spending,returning,payment
C1001,Tuesday,Lunch,Salad,6.8,8.3,9.84,First-time,Mobile
C1002,Wednesday,Lunch,Sandwich,10.7,,7.65,First-time,Mobile
C1003,Wednesday,Lunch,Sandwich,5.3,7.1,8.07,Returning,Card
C1004,Wednesday,Breakfast,Rice Bowl,3.3,7.1,11.35,Returning,Card
C1005,Tuesday,Dinner,Wrap,3.9,7.4,9.45,Returning,Card
C1006,Tuesday,Breakfast,Wrap,3.4,5.6,7.39,Returning,Card
C1007,Thursday,Lunch,Sandwich,8.6,5.7,7.6,First-time,Card
C1008,Thursday,Lunch,Sandwich,8.3,5.3,11.47,First-time,Card
C1009,Thursday,Lunch,Sandwich,4.2,7.9,9.23,Returning,Mobile
C1010,Friday,Breakfast,Salad,4.6,7.5,8.77,Returning,Mobile
C1011,Tuesday,Lunch,Wrap,8.1,5.6,6.2,First-time,Card
C1012,Wednesday,Dinner,Rice Bowl,7.5,6.9,11.96,Returning,
C1013,Monday,Lunch,Rice Bowl,8.8,8.2,10.24,Returning,Cash
C1014,Tuesday,Dinner,Salad,6.8,,10.46,Returning,Card
C1015,Wednesday,Dinner,Wrap,7.8,6.4,9.46,Returning,Mobile
C1016,Friday,Dinner,Rice Bowl,7.2,5.2,10.46,First-time,Mobile
C1017,Thursday,Lunch,Salad,6.6,7.6,9.93,Returning,Card
C1018,Monday,Dinner,Sandwich,5.3,7.0,9.63,Returning,Mobile
C1019,Thursday,Lunch,Wrap,8.3,7.4,9.35,First-time,Mobile
C1020,Wednesday,Lunch,Wrap,9.1,7.6,7.52,Returning,Card
C1021,Tuesday,Dinner,Sandwich,8.5,6.8,9.47,First-time,Card
C1022,Tuesday,Breakfast,Salad,2.1,9.3,10.32,Returning,Card
C1023,Monday,Dinner,Rice Bowl,10.0,5.3,10.32,Returning,Card
C1024,Friday,Lunch,Salad,8.8,5.8,7.59,First-time,Cash
C1025,Friday,Dinner,Wrap,7.0,8.0,5.76,First-time,Card
C1026,Wednesday,Lunch,Soup,5.4,8.5,3.5,Returning,Mobile
C1027,Wednesday,Lunch,Rice Bowl,8.6,5.8,7.83,First-time,Mobile
C1028,Wednesday,Lunch,Wrap,4.0,8.6,9.22,First-time,Cash
C1029,Friday,Dinner,Sandwich,11.4,5.8,8.16,First-time,Mobile
C1030,Monday,Dinner,Salad,4.8,6.7,8.55,First-time,Card
C1031,Friday,Dinner,Soup,10.4,,6.48,Returning,Mobile
C1032,Tuesday,Dinner,Rice Bowl,3.2,6.3,10.89,First-time,Card
C1033,Monday,Lunch,Rice Bowl,11.8,5.4,9.09,Returning,Card
C1034,Friday,Lunch,Wrap,8.1,6.7,7.27,First-time,Mobile
C1035,Thursday,Lunch,Rice Bowl,10.0,6.0,13.83,Returning,Card
C1036,Wednesday,Lunch,Sandwich,8.7,7.5,6.3,Returning,Card
C1037,Friday,Breakfast,Rice Bowl,3.2,7.3,11.3,Returning,Card
C1038,Friday,Lunch,Wrap,9.6,6.9,8.07,Returning,Mobile
C1039,Thursday,Lunch,Rice Bowl,5.4,8.3,7.17,Returning,Mobile
C1040,Wednesday,Dinner,Wrap,4.5,,9.41,Returning,Card
C1041,Wednesday,Dinner,Wrap,7.4,,6.38,First-time,Card
C1042,Tuesday,Breakfast,Sandwich,5.1,8.4,7.16,Returning,Cash
C1043,Wednesday,Lunch,,5.1,6.4,7.28,Returning,Card
C1044,Monday,Lunch,Rice Bowl,9.8,6.4,12.41,First-time,Mobile
C1045,Friday,Lunch,Soup,8.6,6.2,8.17,Returning,
C1046,Wednesday,Dinner,Wrap,10.3,5.0,8.56,Returning,Card
C1047,Monday,Lunch,Sandwich,10.4,7.6,6.98,Returning,Cash
C1048,Friday,Lunch,Wrap,12.6,5.9,10.49,First-time,
C1049,Thursday,Dinner,Sandwich,8.6,6.9,8.84,Returning,Mobile
C1050,Monday,Lunch,Sandwich,9.0,5.6,7.99,First-time,Mobile
C1051,Friday,Dinner,Rice Bowl,7.9,7.8,14.24,Returning,Card
C1052,Monday,Breakfast,Soup,2.0,6.9,7.46,First-time,Cash
C1053,Wednesday,Lunch,Rice Bowl,9.6,7.3,10.33,First-time,Mobile
C1054,Wednesday,Breakfast,Rice Bowl,7.9,6.0,12.94,Returning,Card
C1055,Monday,Lunch,Rice Bowl,8.3,7.1,12.12,Returning,Card
C1056,Wednesday,Breakfast,Soup,3.8,,6.57,First-time,Card
C1057,Thursday,Lunch,Wrap,8.8,5.4,5.98,First-time,Card
C1058,Monday,Lunch,Salad,7.6,6.0,7.39,First-time,Mobile
C1059,Monday,Breakfast,Rice Bowl,6.2,,13.56,Returning,Card
