bpm,energy,genre
101,72,Hip-Hop
85,76,Hip-Hop
93,80,Hip-Hop
95,86,Hip-Hop
93,69,Hip-Hop
89,85,Hip-Hop
102,78,Hip-Hop
89,83,Hip-Hop
106,82,Hip-Hop
89,81,Hip-Hop
100,67,Hip-Hop
108,74,Hip-Hop
79,80,Hip-Hop
88,67,Hip-Hop
89,71,Hip-Hop
95,80,Hip-Hop
88,81,Hip-Hop
69,79,Hip-Hop
70,68,Hip-Hop
101,66,Hip-Hop
88,87,Hip-Hop
76,77,Hip-Hop
89,76,Hip-Hop
100,74,Hip-Hop
105,65,Hip-Hop
87,80,Hip-Hop
88,73,Hip-Hop
76,74,Hip-Hop
94,82,Hip-Hop
85,82,Hip-Hop
94,86,Hip-Hop
96,71,Hip-Hop
98,80,Hip-Hop
85,86,Hip-Hop
94,66,Hip-Hop
76,68,Hip-Hop
84,66,Hip-Hop
83,63,Hip-Hop
71,76,Hip-Hop
90,80,Hip-Hop
92,85,Hip-Hop
87,83,Hip-Hop
96,67,Hip-Hop
84,90,Hip-Hop
79,70,Hip-Hop
93,76,Hip-Hop
84,72,Hip-Hop
102,74,Hip-Hop
87,77,Hip-Hop
95,76,Hip-Hop
93,75,Hip-Hop
84,76,Hip-Hop
103,71,Hip-Hop
95,71,Hip-Hop
91,62,Hip-Hop
92,72,Hip-Hop
95,71,Hip-Hop
91,97,Hip-Hop
66,64,Hip-Hop
92,76,Hip-Hop
119,91,EDM
119,87,EDM
129,92,EDM
122,91,EDM
128,89,EDM
125,83,EDM
124,94,EDM
116,93,EDM
121,86,EDM
129,82,EDM
131,91,EDM
125,88,EDM
128,91,EDM
135,84,EDM
137,85,EDM
121,95,EDM
127,92,EDM
135,93,EDM
125,99,EDM
128,91,EDM
127,80,EDM
123,92,EDM
125,96,EDM
128,100,EDM
126,83,EDM
135,84,EDM
125,86,EDM
125,85,EDM
132,87,EDM
122,89,EDM
128,84,EDM
119,100,EDM
135,91,EDM
126,90,EDM
125,92,EDM
121,90,EDM
128,89,EDM
123,97,EDM
125,89,EDM
136,84,EDM
127,92,EDM
122,88,EDM
129,87,EDM
126,85,EDM
132,92,EDM
137,89,EDM
122,93,EDM
131,89,EDM
129,87,EDM
133,96,EDM
127,89,EDM
133,95,EDM
118,84,EDM
138,88,EDM
133,89,EDM
127,88,EDM
119,97,EDM
132,90,EDM
131,91,EDM
128,85,EDM
101,45,Indie Acoustic
122,53,Indie Acoustic
125,45,Indie Acoustic
125,52,Indie Acoustic
93,44,Indie Acoustic
135,44,Indie Acoustic
122,50,Indie Acoustic
110,55,Indie Acoustic
118,33,Indie Acoustic
98,45,Indie Acoustic
97,44,Indie Acoustic
111,37,Indie Acoustic
96,35,Indie Acoustic
112,39,Indie Acoustic
126,51,Indie Acoustic
98,41,Indie Acoustic
101,37,Indie Acoustic
111,47,Indie Acoustic
98,33,Indie Acoustic
105,55,Indie Acoustic
120,40,Indie Acoustic
122,47,Indie Acoustic
115,46,Indie Acoustic
88,45,Indie Acoustic
109,63,Indie Acoustic
123,37,Indie Acoustic
120,56,Indie Acoustic
108,45,Indie Acoustic
78,37,Indie Acoustic
111,44,Indie Acoustic
117,52,Indie Acoustic
111,41,Indie Acoustic
112,37,Indie Acoustic
115,47,Indie Acoustic
105,55,Indie Acoustic
126,44,Indie Acoustic
116,31,Indie Acoustic
95,32,Indie Acoustic
127,37,Indie Acoustic
124,40,Indie Acoustic
120,45,Indie Acoustic
90,52,Indie Acoustic
103,41,Indie Acoustic
118,34,Indie Acoustic
111,51,Indie Acoustic
114,48,Indie Acoustic
140,57,Indie Acoustic
100,28,Indie Acoustic
85,46,Indie Acoustic
113,59,Indie Acoustic
102,52,Indie Acoustic
115,37,Indie Acoustic
100,52,Indie Acoustic
137,36,Indie Acoustic
109,40,Indie Acoustic
104,57,Indie Acoustic
108,42,Indie Acoustic
120,53,Indie Acoustic
111,42,Indie Acoustic
90,29,Indie Acoustic
