price,sales_quantity
10,133
18,80
8,149
11,125
17,94
9,146
16,86
17,80
15,99
12,122
19,58
19,66
16,92
8,147
20,73
9,138
11,128
13,106
13,121
13,120
11,113
8,139
13,122
8,159
15,91
20,53
10,122
11,141
8,153
20,56
16,97
10,130
12,130
19,51
8,157
15,95
12,124
15,97
8,157
15,95
9,134
8,149
9,167
14,117
11,125
19,78
17,82
18,88
9,123
17,81
14,103
12,124
20,56
9,131
11,119
14,100
18,62
14,98
9,150
18,77
13,100
19,63
16,87
13,110
14,103
20,69
14,90
12,125
19,79
17,82
16,91
9,130
14,107
13,121
18,79
18,84
12,132
13,127
11,124
15,103
14,103
19,73
16,86
20,57
18,78
17,94
10,130
17,68
10,132
16,84
10,134
11,136
15,98
10,147
20,72
19,75
18,76
15,87
10,124
16,95
12,121
17,86
20,52
12,126
