price,sales_quantity,region
10,133,Downtown
18,80,Downtown
8,149,Suburban
11,125,Downtown
17,94,Downtown
9,146,Downtown
16,86,Suburban
17,80,Suburban
15,99,Downtown
12,122,Suburban
19,58,Suburban
19,66,Suburban
16,92,Downtown
8,147,Suburban
20,73,Downtown
9,138,Downtown
11,128,Downtown
13,106,Suburban
13,121,Downtown
13,120,Suburban
11,113,Suburban
8,139,Suburban
13,122,Downtown
8,159,Downtown
15,91,Suburban
20,53,Suburban
10,122,Suburban
11,141,Downtown
8,153,Downtown
20,56,Suburban
16,97,Downtown
10,130,Suburban
12,130,Downtown
19,51,Suburban
8,157,Downtown
15,95,Suburban
12,124,Suburban
15,97,Downtown
8,157,Downtown
15,95,Suburban
9,134,Suburban
8,149,Suburban
9,167,Downtown
14,117,Downtown
11,125,Downtown
19,78,Downtown
17,82,Downtown
18,88,Downtown
9,123,Suburban
17,81,Suburban
14,103,Downtown
12,124,Suburban
20,56,Suburban
9,131,Suburban
11,119,Suburban
14,100,Suburban
18,62,Suburban
14,98,Suburban
9,150,Downtown
18,77,Suburban
13,100,Suburban
19,63,Suburban
16,87,Suburban
13,110,Suburban
14,103,Downtown
20,69,Downtown
14,90,Suburban
12,125,Downtown
19,79,Downtown
17,82,Downtown
16,91,Downtown
9,130,Suburban
14,107,Downtown
13,121,Downtown
18,79,Downtown
18,84,Downtown
12,132,Downtown
13,127,Downtown
11,124,Suburban
15,103,Downtown
14,103,Downtown
19,73,Downtown
16,86,Suburban
20,57,Downtown
18,78,Suburban
17,94,Downtown
10,130,Suburban
17,68,Suburban
10,132,Downtown
16,84,Suburban
10,134,Downtown
11,136,Downtown
15,98,Downtown
10,147,Downtown
20,72,Downtown
19,75,Downtown
18,76,Suburban
15,87,Suburban
10,124,Suburban
16,95,Downtown
12,121,Suburban
17,86,Downtown
20,52,Suburban
12,126,Downtown
