price,sales_quantity,revenue
19,225,4275
17,222,3774
10,270,2700
13,263,3419
8,273,2184
13,270,3510
19,231,4389
13,273,3549
12,270,3240
20,228,4560
8,296,2368
8,291,2328
8,276,2208
16,258,4128
8,304,2432
20,249,4980
14,272,3808
12,263,3156
15,279,4185
19,241,4579
16,241,3856
9,272,2448
19,235,4465
15,253,3795
11,270,2970
9,293,2637
16,249,3984
13,270,3510
19,236,4484
15,257,3855
14,261,3654
9,285,2565
8,305,2440
13,271,3523
10,262,2620
9,278,2502
10,265,2650
12,277,3324
15,243,3645
16,234,3744
15,245,3675
10,280,2800
9,258,2322
18,251,4518
16,268,4288
15,280,4200
10,251,2510
9,301,2709
20,215,4300
17,266,4522
11,291,3201
13,276,3588
14,263,3682
14,260,3640
11,278,3058
12,272,3264
11,268,2948
18,241,4338
10,281,2810
8,290,2320
12,267,3204
16,255,4080
16,264,4224
20,224,4480
18,251,4518
13,269,3497
10,277,2770
18,222,3996
12,259,3108
16,265,4240
18,231,4158
13,245,3185
14,271,3794
19,221,4199
14,267,3738
12,259,3108
14,248,3472
14,258,3612
17,249,4233
20,224,4480
17,244,4148
17,245,4165
15,261,3915
9,273,2457
11,286,3146
11,277,3047
20,244,4880
9,279,2511
11,271,2981
10,280,2800
20,243,4860
17,236,4012
12,273,3276
8,294,2352
18,244,4392
17,251,4267
19,229,4351
15,245,3675
18,241,4338
18,239,4302
19,231,4389
20,224,4480
11,269,2959
17,233,3961
