sqft,neighborhood,rent
680,Downtown Core,2100
451,Downtown Core,1800
984,Downtown Core,2700
743,Downtown Core,2300
412,Downtown Core,1600
834,Downtown Core,2600
766,Downtown Core,2500
584,Downtown Core,2200
438,Downtown Core,1700
583,Downtown Core,1800
636,Downtown Core,2000
685,Downtown Core,2200
935,Downtown Core,2800
799,Downtown Core,2400
842,Downtown Core,2500
947,Downtown Core,2700
783,Downtown Core,2400
919,Downtown Core,2700
573,Downtown Core,1900
478,Downtown Core,1600
478,Downtown Core,1800
443,Downtown Core,1700
515,Downtown Core,1900
561,Downtown Core,1800
710,Downtown Core,2200
479,Downtown Core,1900
568,Downtown Core,2000
512,Downtown Core,1800
523,Downtown Core,2000
909,Downtown Core,2800
726,Downtown Core,2300
693,Downtown Core,2300
785,Downtown Core,2400
667,Downtown Core,2100
713,Downtown Core,2300
673,Downtown Core,2200
949,Downtown Core,2600
459,Downtown Core,1700
611,Downtown Core,2100
614,Downtown Core,2100
636,Campus Edge,1300
1192,Campus Edge,2100
1098,Campus Edge,1800
607,Campus Edge,1100
1138,Campus Edge,1900
767,Campus Edge,1400
891,Campus Edge,1600
1139,Campus Edge,2000
1054,Campus Edge,1800
892,Campus Edge,1500
545,Campus Edge,1200
1039,Campus Edge,1800
516,Campus Edge,1100
609,Campus Edge,1300
1151,Campus Edge,1900
1119,Campus Edge,1900
533,Campus Edge,1100
790,Campus Edge,1300
590,Campus Edge,1200
996,Campus Edge,1800
656,Campus Edge,1300
579,Campus Edge,1200
705,Campus Edge,1300
917,Campus Edge,1800
644,Campus Edge,1200
643,Campus Edge,1100
915,Campus Edge,1500
707,Campus Edge,1300
662,Campus Edge,1200
999,Campus Edge,1800
747,Campus Edge,1400
821,Campus Edge,1500
672,Campus Edge,1300
910,Campus Edge,1600
1165,Campus Edge,2100
809,Campus Edge,1500
1063,Campus Edge,1900
991,Campus Edge,1800
951,Campus Edge,1700
1043,Campus Edge,1800
1205,Outer Suburbs,1100
1435,Outer Suburbs,1400
1313,Outer Suburbs,1200
787,Outer Suburbs,900
798,Outer Suburbs,800
894,Outer Suburbs,900
828,Outer Suburbs,900
758,Outer Suburbs,800
1578,Outer Suburbs,1400
1549,Outer Suburbs,1400
1537,Outer Suburbs,1400
968,Outer Suburbs,900
1133,Outer Suburbs,1100
1507,Outer Suburbs,1400
1405,Outer Suburbs,1200
1123,Outer Suburbs,900
1317,Outer Suburbs,1200
1569,Outer Suburbs,1500
1250,Outer Suburbs,1100
984,Outer Suburbs,1000
930,Outer Suburbs,1000
1573,Outer Suburbs,1400
729,Outer Suburbs,800
957,Outer Suburbs,1000
969,Outer Suburbs,1000
1455,Outer Suburbs,1300
1204,Outer Suburbs,1000
1097,Outer Suburbs,1000
706,Outer Suburbs,700
1072,Outer Suburbs,1000
1392,Outer Suburbs,1300
1301,Outer Suburbs,1300
1238,Outer Suburbs,1100
1021,Outer Suburbs,1000
1373,Outer Suburbs,1300
1542,Outer Suburbs,1400
1372,Outer Suburbs,1300
1120,Outer Suburbs,1000
1594,Outer Suburbs,1400
818,Outer Suburbs,700
599,Arts District,1400
764,Arts District,1700
771,Arts District,1700
591,Arts District,1600
986,Arts District,2100
830,Arts District,1900
612,Arts District,1600
725,Arts District,1700
929,Arts District,2000
458,Arts District,1100
569,Arts District,1300
690,Arts District,1500
711,Arts District,1600
632,Arts District,1500
1003,Arts District,2000
814,Arts District,1800
634,Arts District,1700
598,Arts District,1500
575,Arts District,1400
870,Arts District,1700
641,Arts District,1600
829,Arts District,2000
932,Arts District,2000
954,Arts District,2100
934,Arts District,2200
469,Arts District,1300
942,Arts District,1900
458,Arts District,1100
747,Arts District,1700
634,Arts District,1400
1056,Arts District,2200
685,Arts District,1600
733,Arts District,1600
787,Arts District,1700
1042,Arts District,2500
916,Arts District,2100
993,Arts District,2100
516,Arts District,1300
957,Arts District,2100
698,Arts District,1600
