hours,platform,wellbeing
4,TikTok,47
6,Instagram,37
5,Instagram,54
3,TikTok,50
5,TikTok,41
5.5,Instagram,45
0.5,iMessage,68
1.5,TikTok,71
2,Duolingo,70
2.5,Duolingo,72
5,Instagram,49
3,iMessage,73
5.5,Instagram,46
1,Instagram,78
2.5,iMessage,71
2,iMessage,71
1,TikTok,71
1.5,Duolingo,61
2.5,Duolingo,72
5,TikTok,38
2,iMessage,65
1,TikTok,73
0.5,Duolingo,55
4,iMessage,62
0.5,Duolingo,67
2.5,TikTok,60
3,TikTok,55
1.5,iMessage,70
2.5,Duolingo,68
5,iMessage,76
2.5,Duolingo,65
3,Instagram,73
4.5,TikTok,47
1.5,Instagram,72
2.5,Duolingo,70
1,TikTok,64
1,Duolingo,65
2.5,Duolingo,70
6,Instagram,45
0.5,iMessage,74
2.5,Duolingo,72
5.5,TikTok,30
4.5,TikTok,48
1,iMessage,74
2.5,Duolingo,78
5.5,Instagram,49
6,Instagram,48
4,TikTok,53
0.5,Duolingo,61
1,Instagram,68
1,iMessage,60
3.5,iMessage,76
1,iMessage,70
2,Duolingo,65
4,TikTok,45
5.5,Instagram,53
1,Duolingo,66
2.5,Instagram,62
0.5,Duolingo,63
1,iMessage,74
2,Duolingo,73
3.5,iMessage,77
1.5,Duolingo,66
2.5,Instagram,68
3,Duolingo,70
2,Instagram,64
1,TikTok,67
3,TikTok,65
1,Instagram,66
1,Duolingo,62
0.5,Instagram,72
2,iMessage,63
3.5,iMessage,79
6,TikTok,37
5,Instagram,55
5.5,TikTok,32
4.5,iMessage,76
3,TikTok,60
0.5,Instagram,65
1,iMessage,85
5.5,Instagram,48
1,iMessage,78
5.5,TikTok,35
2,Instagram,58
4.5,TikTok,44
1,Duolingo,65
2,Instagram,62
2,TikTok,60
1,Duolingo,67
5,TikTok,40
4,iMessage,70
3,iMessage,69
0.5,Duolingo,57
2,TikTok,73
0.5,Duolingo,67
2.5,iMessage,76
4,iMessage,67
2,Duolingo,69
2,Duolingo,68
2.5,Duolingo,71
3,iMessage,65
2.5,Duolingo,71
0.5,Duolingo,62
0.5,Instagram,67
3,Instagram,62
4,TikTok,50
4,iMessage,70
3,iMessage,74
3.5,iMessage,78
5,Instagram,53
3.5,iMessage,68
2,Duolingo,69
4,iMessage,76
4,TikTok,42
3,Instagram,66
4.5,Instagram,47
4,iMessage,74
1.5,Duolingo,73
3,TikTok,46
1.5,Duolingo,64
3.5,TikTok,63
1,Instagram,78
3,iMessage,68
1,iMessage,74
5.5,TikTok,43
1,Duolingo,64
3,Instagram,45
4,iMessage,74
4.5,iMessage,79
1,Duolingo,69
3,iMessage,77
2,Duolingo,57
2.5,Duolingo,67
6,Instagram,43
2,Duolingo,73
4.5,iMessage,86
2,TikTok,68
0.5,Duolingo,65
0.5,TikTok,77
4,TikTok,44
3,Instagram,60
2.5,Duolingo,71
3,TikTok,55
5,TikTok,40
2.5,Duolingo,72
3,TikTok,53
3.5,iMessage,74
3.5,iMessage,66
3,Instagram,70
5,TikTok,32
3.5,iMessage,66
4.5,Instagram,55
2,Duolingo,70
1.5,TikTok,66
5,TikTok,33
3,TikTok,65
1.5,iMessage,77
4.5,Instagram,50
0.5,Instagram,67
4,TikTok,43
1.5,iMessage,70
1,Instagram,65
5.5,TikTok,34
1,TikTok,67
5.5,Instagram,45
0.5,Instagram,75
2,TikTok,56
2,Duolingo,67
1.5,iMessage,63
0.5,iMessage,62
0.5,Duolingo,62
3,Instagram,53
3,iMessage,68
1.5,Duolingo,68
0.5,Instagram,70
4.5,Instagram,51
1,Instagram,74
2,Duolingo,65
4.5,iMessage,68
4,TikTok,55
0.5,Duolingo,65
3,iMessage,74
2,Duolingo,69
4.5,iMessage,69
4,TikTok,37
2.5,Duolingo,67
6,TikTok,34
1.5,iMessage,68
5.5,Instagram,50
4,iMessage,72
4.5,iMessage,70
1.5,Duolingo,63
2,Duolingo,66
5.5,Instagram,46
1,Duolingo,63
5,TikTok,39
4.5,TikTok,51
0.5,TikTok,75
5,iMessage,73
4.5,Instagram,46
1.5,iMessage,60
1.5,Instagram,69
2,TikTok,68
1,Instagram,70
2.5,TikTok,59
3,Duolingo,71
4.5,TikTok,48
3,iMessage,77
4.5,iMessage,68
2.5,iMessage,70
3,iMessage,66
0.5,Duolingo,64
1,Instagram,72
2,Instagram,66
2.5,Duolingo,76
3,Instagram,67
1,TikTok,73
1,TikTok,73
2,Instagram,71
4,Instagram,50
4,Instagram,49
2,Instagram,66
3.5,Instagram,57
2,Duolingo,66
0.5,TikTok,74
2,Duolingo,57
3.5,Instagram,66
2.5,Duolingo,72
3,iMessage,72
0.5,TikTok,81
1.5,Instagram,70
4.5,TikTok,50
3.5,iMessage,78
3.5,iMessage,73
2,TikTok,67
2,Duolingo,67
1,Instagram,79
5.5,Instagram,45
3,Duolingo,77
3,TikTok,59
