hours,score,course
3.7,83,Intro Stat
4.6,86,Intro Stat
3.3,95,Intro Stat
4.2,88,Intro Stat
4.3,93,Intro Stat
5.2,88,Intro Stat
4.6,90,Intro Stat
3.9,81,Intro Stat
4.9,92,Intro Stat
3.8,92,Intro Stat
4.5,86,Intro Stat
3.2,79,Intro Stat
5.4,90,Intro Stat
2.5,88,Intro Stat
3.8,90,Intro Stat
3.8,84,Intro Stat
3.2,79,Intro Stat
4.1,84,Intro Stat
3.2,81,Intro Stat
1.9,82,Intro Stat
3.8,88,Intro Stat
4.7,92,Intro Stat
3.7,81,Intro Stat
2.5,79,Intro Stat
4.7,86,Intro Stat
2.6,75,Intro Stat
4.5,87,Intro Stat
3.9,81,Intro Stat
4.5,96,Intro Stat
4.5,84,Intro Stat
4.9,93,Intro Stat
4.3,92,Intro Stat
5,89,Intro Stat
1.9,71,Intro Stat
5.2,90,Intro Stat
3.3,78,Intro Stat
4.2,95,Intro Stat
4.9,100,Intro Stat
2.3,88,Intro Stat
4.4,92,Intro Stat
4.5,89,Intro Stat
4.8,89,Intro Stat
1.7,71,Intro Stat
3.5,84,Intro Stat
2.9,86,Intro Stat
4.4,85,Intro Stat
4.6,90,Intro Stat
3.3,86,Intro Stat
3.7,86,Intro Stat
2.5,77,Intro Stat
7.1,60,Multivariate Calc
8.4,57,Multivariate Calc
6.9,67,Multivariate Calc
9.1,63,Multivariate Calc
7.4,65,Multivariate Calc
3.8,51,Multivariate Calc
8.7,67,Multivariate Calc
11.2,81,Multivariate Calc
7.6,61,Multivariate Calc
8.4,65,Multivariate Calc
8.1,73,Multivariate Calc
8.6,49,Multivariate Calc
5.7,67,Multivariate Calc
5.6,55,Multivariate Calc
6.6,77,Multivariate Calc
9.2,76,Multivariate Calc
6.8,64,Multivariate Calc
6.1,58,Multivariate Calc
8,69,Multivariate Calc
5.2,59,Multivariate Calc
8.7,78,Multivariate Calc
7.4,64,Multivariate Calc
9.1,64,Multivariate Calc
9.4,76,Multivariate Calc
8.6,59,Multivariate Calc
9.8,70,Multivariate Calc
8,73,Multivariate Calc
7.9,61,Multivariate Calc
9.9,75,Multivariate Calc
6.6,51,Multivariate Calc
9.4,70,Multivariate Calc
6.6,56,Multivariate Calc
8.2,63,Multivariate Calc
8.8,79,Multivariate Calc
8.8,76,Multivariate Calc
6.7,52,Multivariate Calc
7.7,65,Multivariate Calc
7.7,64,Multivariate Calc
7.7,65,Multivariate Calc
10.6,72,Multivariate Calc
8.3,68,Multivariate Calc
8.8,70,Multivariate Calc
10.2,59,Multivariate Calc
8.5,70,Multivariate Calc
6.7,62,Multivariate Calc
8,63,Multivariate Calc
6.9,51,Multivariate Calc
11,78,Multivariate Calc
7.2,64,Multivariate Calc
8,59,Multivariate Calc
10.3,46,Quantum Physics
11.6,47,Quantum Physics
13.8,46,Quantum Physics
12.3,64,Quantum Physics
11.9,57,Quantum Physics
10.5,35,Quantum Physics
12.9,59,Quantum Physics
10.1,57,Quantum Physics
13.6,71,Quantum Physics
11.3,42,Quantum Physics
12.4,51,Quantum Physics
11.2,49,Quantum Physics
9.4,53,Quantum Physics
12.8,56,Quantum Physics
14.3,67,Quantum Physics
8.3,48,Quantum Physics
11.8,69,Quantum Physics
15.2,71,Quantum Physics
11.5,39,Quantum Physics
13.5,37,Quantum Physics
12.6,46,Quantum Physics
11.2,50,Quantum Physics
10.4,51,Quantum Physics
12.1,64,Quantum Physics
10.5,54,Quantum Physics
11,56,Quantum Physics
12.1,58,Quantum Physics
12,50,Quantum Physics
9.6,41,Quantum Physics
12.7,55,Quantum Physics
11.7,51,Quantum Physics
11.3,52,Quantum Physics
14,62,Quantum Physics
11.3,57,Quantum Physics
10,68,Quantum Physics
14.5,62,Quantum Physics
12.8,70,Quantum Physics
13.5,52,Quantum Physics
12.5,62,Quantum Physics
10.4,47,Quantum Physics
11.9,59,Quantum Physics
10.1,56,Quantum Physics
10.7,48,Quantum Physics
12.8,60,Quantum Physics
13.5,65,Quantum Physics
11.6,51,Quantum Physics
13.3,61,Quantum Physics
11,39,Quantum Physics
11.2,44,Quantum Physics
14.7,62,Quantum Physics
